model_name,block_type
efficientnet_v2_s,Dropout
efficientnet_v2_s,BatchNorm2d
efficientnet_v2_s,SiLU
googlenet,"['Conv2d', 'BatchNorm2d', 'MaxPool2d', 'Conv2d', 'BatchNorm2d']"
googlenet,MaxPool2d
googlenet,Conv2d
googlenet,AdaptiveAvgPool2d
googlenet,Linear
googlenet,Dropout
googlenet,BatchNorm2d
inception_v3,"['Conv2d', 'BatchNorm2d', 'Conv2d', 'BatchNorm2d', 'Conv2d']"
inception_v3,MaxPool2d
inception_v3,Conv2d
inception_v3,AdaptiveAvgPool2d
inception_v3,Linear
inception_v3,Dropout
inception_v3,BatchNorm2d
maxvit_t,"['BatchNorm2d', 'Conv2d', 'BatchNorm2d', 'GELU', 'Conv2d']"
maxvit_t,Conv2d
maxvit_t,Flatten
maxvit_t,AdaptiveAvgPool2d
maxvit_t,Sigmoid
maxvit_t,WindowPartition
maxvit_t,WindowDepartition
maxvit_t,Identity
maxvit_t,AvgPool2d
maxvit_t,Linear
maxvit_t,Dropout
maxvit_t,StochasticDepth
maxvit_t,GELU
maxvit_t,BatchNorm2d
maxvit_t,LayerNorm
maxvit_t,SwapAxes
maxvit_t,SiLU
maxvit_t,Tanh
mnasnet0_5,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
mnasnet0_5,Conv2d
mnasnet0_5,Linear
mnasnet0_5,Dropout
mnasnet0_5,BatchNorm2d
mnasnet0_5,ReLU
mnasnet0_75,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
mnasnet0_75,Conv2d
mnasnet0_75,Linear
mnasnet0_75,Dropout
mnasnet0_75,BatchNorm2d
mnasnet0_75,ReLU
mnasnet1_0,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
mnasnet1_0,Conv2d
mnasnet1_0,Linear
mnasnet1_0,Dropout
mnasnet1_0,BatchNorm2d
mnasnet1_0,ReLU
mnasnet1_3,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
mnasnet1_3,Conv2d
mnasnet1_3,Linear
mnasnet1_3,Dropout
mnasnet1_3,BatchNorm2d
mnasnet1_3,ReLU
mobilenet_v2,"['Conv2d', 'BatchNorm2d', 'ReLU6', 'Conv2d', 'BatchNorm2d']"
mobilenet_v2,Conv2d
mobilenet_v2,Linear
mobilenet_v2,Dropout
mobilenet_v2,ReLU6
mobilenet_v2,BatchNorm2d
mobilenet_v3_large,"['Conv2d', 'BatchNorm2d', 'Hardswish', 'Conv2d', 'BatchNorm2d']"
mobilenet_v3_large,Conv2d
mobilenet_v3_large,AdaptiveAvgPool2d
mobilenet_v3_large,Linear
mobilenet_v3_large,Hardswish
mobilenet_v3_large,Dropout
mobilenet_v3_large,BatchNorm2d
mobilenet_v3_large,ReLU
mobilenet_v3_large,Hardsigmoid
mobilenet_v3_small,"['Conv2d', 'BatchNorm2d', 'Hardswish', 'Conv2d', 'BatchNorm2d']"
mobilenet_v3_small,Conv2d
mobilenet_v3_small,AdaptiveAvgPool2d
mobilenet_v3_small,Linear
mobilenet_v3_small,Hardswish
mobilenet_v3_small,Dropout
mobilenet_v3_small,BatchNorm2d
mobilenet_v3_small,ReLU
mobilenet_v3_small,Hardsigmoid
regnet_x_16gf,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
regnet_x_16gf,Conv2d
regnet_x_16gf,AdaptiveAvgPool2d
regnet_x_16gf,Linear
regnet_x_16gf,BatchNorm2d
regnet_x_16gf,ReLU
regnet_x_1_6gf,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
regnet_x_1_6gf,Conv2d
regnet_x_1_6gf,AdaptiveAvgPool2d
regnet_x_1_6gf,Linear
regnet_x_1_6gf,BatchNorm2d
regnet_x_1_6gf,ReLU
regnet_x_32gf,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
regnet_x_32gf,Conv2d
regnet_x_32gf,AdaptiveAvgPool2d
regnet_x_32gf,Linear
regnet_x_32gf,BatchNorm2d
regnet_x_32gf,ReLU
regnet_x_3_2gf,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
regnet_x_3_2gf,Conv2d
regnet_x_3_2gf,AdaptiveAvgPool2d
regnet_x_3_2gf,Linear
regnet_x_3_2gf,BatchNorm2d
regnet_x_3_2gf,ReLU
regnet_x_400mf,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
regnet_x_400mf,Conv2d
regnet_x_400mf,AdaptiveAvgPool2d
regnet_x_400mf,Linear
regnet_x_400mf,BatchNorm2d
regnet_x_400mf,ReLU
regnet_x_800mf,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
regnet_x_800mf,Conv2d
regnet_x_800mf,AdaptiveAvgPool2d
regnet_x_800mf,Linear
regnet_x_800mf,BatchNorm2d
regnet_x_800mf,ReLU
regnet_x_8gf,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
regnet_x_8gf,Conv2d
regnet_x_8gf,AdaptiveAvgPool2d
regnet_x_8gf,Linear
regnet_x_8gf,BatchNorm2d
regnet_x_8gf,ReLU
regnet_y_128gf,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
regnet_y_128gf,Conv2d
regnet_y_128gf,Sigmoid
regnet_y_128gf,AdaptiveAvgPool2d
regnet_y_128gf,Linear
regnet_y_128gf,BatchNorm2d
regnet_y_128gf,ReLU
regnet_y_16gf,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
regnet_y_16gf,Conv2d
regnet_y_16gf,Sigmoid
regnet_y_16gf,AdaptiveAvgPool2d
regnet_y_16gf,Linear
regnet_y_16gf,BatchNorm2d
regnet_y_16gf,ReLU
regnet_y_1_6gf,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
regnet_y_1_6gf,Conv2d
regnet_y_1_6gf,Sigmoid
regnet_y_1_6gf,AdaptiveAvgPool2d
regnet_y_1_6gf,Linear
regnet_y_1_6gf,BatchNorm2d
regnet_y_1_6gf,ReLU
regnet_y_32gf,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
regnet_y_32gf,Conv2d
regnet_y_32gf,Sigmoid
regnet_y_32gf,AdaptiveAvgPool2d
regnet_y_32gf,Linear
regnet_y_32gf,BatchNorm2d
regnet_y_32gf,ReLU
regnet_y_3_2gf,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
regnet_y_3_2gf,Conv2d
regnet_y_3_2gf,Sigmoid
regnet_y_3_2gf,AdaptiveAvgPool2d
regnet_y_3_2gf,Linear
regnet_y_3_2gf,BatchNorm2d
regnet_y_3_2gf,ReLU
regnet_y_400mf,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
regnet_y_400mf,Conv2d
regnet_y_400mf,Sigmoid
regnet_y_400mf,AdaptiveAvgPool2d
regnet_y_400mf,Linear
regnet_y_400mf,BatchNorm2d
regnet_y_400mf,ReLU
regnet_y_800mf,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
regnet_y_800mf,Conv2d
regnet_y_800mf,Sigmoid
regnet_y_800mf,AdaptiveAvgPool2d
regnet_y_800mf,Linear
regnet_y_800mf,BatchNorm2d
regnet_y_800mf,ReLU
regnet_y_8gf,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
regnet_y_8gf,Conv2d
regnet_y_8gf,Sigmoid
regnet_y_8gf,AdaptiveAvgPool2d
regnet_y_8gf,Linear
regnet_y_8gf,BatchNorm2d
regnet_y_8gf,ReLU
resnet101,"['Conv2d', 'BatchNorm2d', 'Conv2d', 'BatchNorm2d', 'Conv2d']"
resnet101,MaxPool2d
resnet101,Conv2d
resnet101,AdaptiveAvgPool2d
resnet101,Linear
resnet101,BatchNorm2d
resnet101,ReLU
resnet152,"['Conv2d', 'BatchNorm2d', 'Conv2d', 'BatchNorm2d', 'Conv2d']"
resnet152,MaxPool2d
resnet152,Conv2d
resnet152,AdaptiveAvgPool2d
resnet152,Linear
resnet152,BatchNorm2d
resnet152,ReLU
resnet18,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
resnet18,MaxPool2d
resnet18,Conv2d
resnet18,AdaptiveAvgPool2d
resnet18,Linear
resnet18,BatchNorm2d
resnet18,ReLU
resnet34,"['Conv2d', 'BatchNorm2d', 'ReLU', 'Conv2d', 'BatchNorm2d']"
resnet34,MaxPool2d
resnet34,Conv2d
resnet34,AdaptiveAvgPool2d
resnet34,Linear
resnet34,BatchNorm2d
resnet34,ReLU
resnet50,"['Conv2d', 'BatchNorm2d', 'Conv2d', 'BatchNorm2d', 'Conv2d']"
resnet50,MaxPool2d
resnet50,Conv2d
resnet50,AdaptiveAvgPool2d
resnet50,Linear
resnet50,BatchNorm2d
resnet50,ReLU
resnext101_32x8d,"['Conv2d', 'BatchNorm2d', 'Conv2d', 'BatchNorm2d', 'Conv2d']"
resnext101_32x8d,MaxPool2d
resnext101_32x8d,Conv2d
resnext101_32x8d,AdaptiveAvgPool2d
resnext101_32x8d,Linear
resnext101_32x8d,BatchNorm2d
resnext101_32x8d,ReLU
resnext101_64x4d,"['Conv2d', 'BatchNorm2d', 'Conv2d', 'BatchNorm2d', 'Conv2d']"
resnext101_64x4d,MaxPool2d
resnext101_64x4d,Conv2d
resnext101_64x4d,AdaptiveAvgPool2d
resnext101_64x4d,Linear
resnext101_64x4d,BatchNorm2d
resnext101_64x4d,ReLU
resnext50_32x4d,"['Conv2d', 'BatchNorm2d', 'Conv2d', 'BatchNorm2d', 'Conv2d']"
resnext50_32x4d,MaxPool2d
resnext50_32x4d,Conv2d
resnext50_32x4d,AdaptiveAvgPool2d
resnext50_32x4d,Linear
resnext50_32x4d,BatchNorm2d
resnext50_32x4d,ReLU
shufflenet_v2_x0_5,"['Conv2d', 'BatchNorm2d', 'Conv2d', 'BatchNorm2d', 'ReLU']"
shufflenet_v2_x0_5,MaxPool2d
shufflenet_v2_x0_5,Conv2d
shufflenet_v2_x0_5,Sequential
shufflenet_v2_x0_5,Linear
shufflenet_v2_x0_5,BatchNorm2d
shufflenet_v2_x0_5,ReLU
